groupID	cellType	UMAP1	UMAP2	Pseudotime	color	MyeloidProbs	ErythroidProbs	BLymphoidProbs	TLymphoidProbs
1	CD4	9.00102122993584	0.0968893933186578	0.977141969331591	#005F9F	0	0	0	0.998462508507571
2	CD16mono	-8.82882896690254	5.63975705384112	0.367753180705654	#F26625	0.999210155715765	0	0	0
3	CD14mono	-9.00204483299141	2.61076082466937	0.373777078683124	#F28238	0.999229995374184	0	0	0
4	late-Ery	-8.15780464439278	-10.9427743983378	0.905430586065954	#901838	0	0.999999999999797	0	0
5	NK	3.96718772621269	-6.63526211501264	0.989003202725818	#492264	0	0	0	0.999084959286952
6	CD14mono	-10.4375478389729	-1.29643790246152	0.361975566867247	#F28238	0.876349868867702	0	0.0578728947727618	0.0608393709319272
7	NaiveB	3.54920347900505	10.4084247517476	0.875027104232758	#A896C8	0	0	0.995000994648945	0
8	CD8	3.28235062332268	-4.73586712599897	0.986667253773556	#1481C4	0	0	0	0.998966344548147
9	NK	3.79557188720818	-7.00731287718915	0.993731729221034	#492264	0	0	0	0.999242581658628
10	CD4	8.55923827858086	-0.913120670329566	0.981652639139802	#005F9F	0	0	0	0.998586407145863
11	NaiveB	4.04320701332207	11.1228650975118	0.877811410140079	#A896C8	0	0	0.995479745387521	0
12	CD8	3.49394162864799	-4.90063725234174	0.987117030376327	#1481C4	0	0	0	0.998982247914747
13	NK	2.62826832504387	-9.46739159346723	0.999023801737429	#492264	0	0	0	0.999378216843286
14	CD4	7.56934484214897	1.58041216610766	0.975820033948478	#005F9F	0	0	0	0.998379677146093
15	CD8	3.22316535682793	-4.79706011534833	0.986434660712902	#1481C4	0	0	0	0.998950773147102
16	early-Ery	-6.66369406013374	-6.30724440337324	0.733070752493202	#CC1F39	0	0.99999999999967	0	0
17	NK	4.03312762947197	-9.44236050368452	0.998269960050442	#492264	0	0	0	0.999362359314174
18	CMP	-1.60312012462502	0.606548087585931	0.0190151961967194	#46A147	0.414048756790604	0.366072740115935	0.213304315957159	0
19	CD4	8.79949458809013	1.34532715557909	0.975861060698712	#005F9F	0	0	0	0.998383951245163
20	NK	3.28538998336906	-7.69440565825605	0.997273760092675	#492264	0	0	0	0.999340749437446
21	CD14mono	-8.47763935356026	3.01230587242938	0.382581184578561	#F28238	0.999729465870704	0	0	0
22	early-Ery	-5.87794891624336	-5.52142010451459	0.673277685379688	#CC1F39	0	0.999999999998971	0	0
23	CD8	4.05290874214287	-1.45400880099439	0.974729554638891	#1481C4	0	0	0	0.99817671835234
24	NaiveB	3.99553283424492	11.70146693467	0.873412403348058	#A896C8	0	0	0.994729125769313	0
25	MemoryB	4.42987760276909	9.30881346939898	0.874873503346864	#B280B9	0	0	0.994533797508926	0
26	CD4	9.30213912696953	0.193387346256738	0.982152316850966	#005F9F	0	0	0	0.998617923055699
27	pro/pre-B	3.35666164131279	6.54451789139605	0.719629478260563	#A896C8	0	0	0.934671975928136	0.0651869845334305
28	NaiveB	3.87629302711601	11.1381582188497	0.869822135741611	#A896C8	0	0	0.992227441676712	0
29	NK	2.79349597663994	-8.97045288802289	0.997642154133504	#492264	0	0	0	0.999348362895263
30	GMP	-5.75447670249824	3.8471478390584	0.226564283514182	#FAA31B	0.993493797505679	0	0	0
31	CD14mono	-9.32790867118721	-1.24106578351163	0.399553103185976	#F28238	0.999891594574354	0	0	0
