TF	cluster
AC0235093	1
AHR	1
ALX1	1
ARNT2	1
ARNTL	1
ATF1	1
ATF2	1
ATF3	1
ATF4	1
ATF7	1
BARHL2	1
BATF3	1
BHLHE40	1
BHLHE41	1
CCDC169SOHLH2	1
CDX1	1
CDX2	1
CDX4	1
CEBPA	1
CEBPB	1
CEBPD	1
CEBPE	1
CEBPG	1
CENPBD1	1
CREB1	1
CREB3	1
CREB3L4	1
CREB5	1
CREBL2	1
CREM	1
CTCF	1
CTCFL	1
CXXC1	1
CXXC4	1
CXXC5	1
DBP	1
DDIT3	1
DNMT1	1
DPF3	1
DUX4	1
DUXA	1
EBF1	1
EBF2	1
EBF3	1
EBF4	1
EPAS1	1
FOSB	1
GFI1B	1
GSC2	1
GSX2	1
HES6	1
HEY1	1
HLF	1
HLX	1
HOXA10	1
HOXA11	1
HOXA3	1
HOXB9	1
HOXC10	1
HOXC11	1
HOXC12	1
HOXC13	1
HOXD11	1
HSFX1	1
HSFX2	1
HSFY1	1
HSFY2	1
IKZF3	1
IRX4	1
KDM2A	1
LIN28B	1
MITF	1
MIXL1	1
MLXIPL	1
MYB	1
MYBL1	1
MYRF	1
NAIF1	1
NFIA	1
NFIB	1
NFIC	1
NFIL3	1
NFIX	1
NFKB2	1
NHLH1	1
NKX24	1
NR2F1	1
NR4A1	1
NR4A2	1
NR4A3	1
NRF1	1
OSR1	1
OSR2	1
PAX2	1
PITX3	1
PROX1	1
PROX2	1
RHOXF1	1
SIX1	1
SKOR1	1
SOX13	1
SOX14	1
SOX3	1
SREBF1	1
SREBF2	1
TEF	1
TET3	1
TFE3	1
TFEB	1
TFEC	1
THRA	1
USF1	1
USF2	1
XBP1	1
YBX1	1
YBX2	1
YBX3	1
ZBTB2	1
ZBTB37	1
ZBTB42	1
ZBTB45	1
ZBTB48	1
ZBTB6	1
ZEB1	1
ZFX	1
ZHX1	1
ZNF101	1
ZNF12	1
ZNF134	1
ZNF135	1
ZNF174	1
ZNF223	1
ZNF280A	1
ZNF283	1
ZNF284	1
ZNF311	1
ZNF322	1
ZNF333	1
ZNF334	1
ZNF345	1
ZNF479	1
ZNF525	1
ZNF547	1
ZNF554	1
ZNF557	1
ZNF610	1
ZNF611	1
ZNF614	1
ZNF615	1
ZNF649	1
ZNF69	1
ZNF737	1
ZNF776	1
ZNF791	1
ZSCAN23	1
ZSCAN5C	1
AC1386961	2
ALX3	2
AR	2
ARID5A	2
ARX	2
ASCL2	2
ATOH7	2
BARX1	2
BCL6	2
BCL6B	2
